name,sic,cityba,afs,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockValue,IncomeTaxExpenseBenefit,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingIncomeLoss,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,StockholdersEquity
"trxade health, inc",5122,land o' lakes,4,6896030.0,6536167.0,4519983.0,-1399595.0,0.0,81.0,,1109053.0,6896030.0,861051.0,1821.0,,-1401416.0,-2578276.0,-3213843.0,15006.0,-14161349.0,5786977.0
steel dynamics inc,3312,fort wayne,1,10687331000.0,5265109000.0,1113744000.0,-131426000.0,0.0025,648000.0,218595000.0,5656979000.0,10687331000.0,1852245000.0,-443309000.0,-584820000.0,587230000.0,,955735000.0,4526892000.0,5783184000.0,5020114000.0
uniqure n.v.,2834,amsterdam,1,784264000.0,694224000.0,677330000.0,432478000.0,,2788000.0,3258000.0,150656000.0,784264000.0,46095000.0,65128000.0,-6191000.0,375206000.0,,398008000.0,38371000.0,-426819000.0,633608000.0
agree realty corp,6798,bloomfield hills,1,4764523000.0,,177046000.0,,0.0001,7000.0,485000.0,1644372000.0,4764523000.0,,797500000.0,-735020000.0,117946000.0,22347000.0,43356000.0,,,3118395000.0
agile therapeutics inc,2834,princeton,4,52279000.0,36948000.0,26118000.0,11655000.0,0.0001,9000.0,,27670000.0,52279000.0,11635000.0,7079000.0,34580000.0,-30004000.0,-17637000.0,-16651000.0,13363000.0,-346988000.0,24609000.0
hilltop holdings inc.,6022,dallas,1,17664534000.0,,,227186000.0,0.01,812000.0,31234000.0,15168158000.0,17664534000.0,,673539000.0,-120421000.0,-325932000.0,219404000.0,,,1159304000.0,2470281000.0
kaiser aluminum corp,3350,foothill ranch,1,2414500000.0,1200600000.0,283100000.0,-497400000.0,0.01,200000.0,-15500000.0,1693800000.0,2414500000.0,439500000.0,133600000.0,-635900000.0,4900000.0,-22400000.0,11100000.0,951900000.0,116900000.0,720700000.0
"independence realty trust, inc.",6798,philadelphia,1,1875122000.0,,7566000.0,392000.0,0.01,1051000.0,0.0,1127839000.0,1875122000.0,,123820000.0,-166680000.0,43252000.0,4472000.0,,,-199350000.0,743444000.0
rpm international inc/de/,2851,medina,1,6252969000.0,2782004000.0,246704000.0,13288000.0,0.01,1295000.0,164938000.0,,6252969000.0,1331414000.0,-459619000.0,-326388000.0,766156000.0,502643000.0,,965182000.0,1852259000.0,1741064000.0
hexcel corp /de/,2821,stamford,1,2917400000.0,619300000.0,115300000.0,12000000.0,0.01,1100000.0,4000000.0,1414600000.0,2917400000.0,235600000.0,-16600000.0,-9200000.0,38900000.0,,16200000.0,1801000000.0,1984600000.0,1502800000.0
"dorman products, inc.",3714,colmar,1,1269477000.0,974609000.0,155539000.0,-37000.0,0.01,319000.0,9080000.0,,1269477000.0,332528000.0,-28971000.0,-10153000.0,39087000.0,31618000.0,40608000.0,88164000.0,820719000.0,892985000.0
bank of hawaii corp,6022,honolulu,1,22672183000.0,,1181467000.0,567379000.0,0.01,580000.0,39010000.0,21088652000.0,22672183000.0,,1982439000.0,-1626329000.0,211269000.0,67533000.0,,198508000.0,1884431000.0,1583531000.0
"steadfast apartment reit, inc.",6798,irvine,4,3246366265.0,,160949592.0,-107847739.0,,,,2224063373.0,3246366265.0,,-32346277.0,-104543729.0,29042267.0,-27068948.0,,,-687044939.0,921202808.0
"nextera energy partners, lp",4911,juno beach,1,13561000000.0,1469000000.0,113000000.0,4000000.0,,,48000000.0,5106000000.0,13561000000.0,271000000.0,820000000.0,-1124000000.0,308000000.0,128000000.0,147000000.0,7027000000.0,,
axalta coating systems ltd.,2851,philadelphia,1,7209400000.0,3048200000.0,1230900000.0,,1.0,251700000.0,42500000.0,5674100000.0,7209400000.0,1216200000.0,-169900000.0,-91300000.0,147100000.0,126400000.0,243000000.0,1183300000.0,704900000.0,1488300000.0
thredup inc.,5961,oakland,4,323770000.0,254890000.0,246514000.0,182029000.0,0.0001,9000.0,27000.0,132343000.0,323770000.0,76285000.0,185051000.0,-4099000.0,1077000.0,-16171000.0,-14678000.0,43562000.0,-268338000.0,191427000.0
"champions oncology, inc.",2836,baltimore,4,27591000.0,12630000.0,,-3655000.0,0.001,13000.0,75000.0,20163000.0,27591000.0,11199000.0,1195000.0,-3169000.0,-1681000.0,362000.0,366000.0,6090000.0,-72530000.0,7428000.0
kkr real estate finance trust inc.,6798,new york,2,5523339000.0,,119172000.0,8340000.0,0.01,556000.0,151000.0,4296528000.0,5523339000.0,,554899000.0,-604668000.0,58109000.0,,,,-55090000.0,1224495000.0
imine corp,1400,indianapolis,4,755.0,755.0,755.0,,0.001,56809.0,0.0,922017.0,755.0,922017.0,,,-270.0,-68236.0,-15480.0,,-12781317.0,-921262.0
"lingerie fighting championships, inc.",3640,las vegas,4,,129549.0,129549.0,,0.001,2987813.0,,,129549.0,11857790.0,24500.0,0.0,-117093.0,654554.0,-50498.0,,-15090074.0,-11728241.0
archer-daniels-midland co,2070,chicago,1,50958000000.0,28504000000.0,869000000.0,2037000000.0,,2941000000.0,244000000.0,,50958000000.0,17296000000.0,-576000000.0,-394000000.0,3007000000.0,1401000000.0,,9873000000.0,20762000000.0,
general electric co,3600,boston,1,104038000000.0,43754000000.0,,-5972000000.0,,5000000.0,-325000000.0,93578000000.0,104038000000.0,10006000000.0,-6776000000.0,-106000000.0,-1441000000.0,-1141000000.0,,,87993000000.0,33487000000.0
lincoln electric holdings inc,3540,cleveland,1,2512726000.0,1237940000.0,190884000.0,-66395000.0,,9858000.0,21581000.0,1653103000.0,2512726000.0,696020000.0,-108995000.0,-102434000.0,145234000.0,170282000.0,121822000.0,513686000.0,2928819000.0,859665000.0
herman miller inc,2520,zeeland,1,2061900000.0,891500000.0,396400000.0,-57600000.0,0.2,11800000.0,47900000.0,1135300000.0,2061900000.0,500800000.0,-347700000.0,-59900000.0,332300000.0,7400000.0,230600000.0,327200000.0,808400000.0,849600000.0
northern trust corp,6022,chicago,1,172291100000.0,,,409800000.0,1.6667,408600000.0,239200000.0,160468100000.0,172291100000.0,,3895100000.0,-2231600000.0,-1167700000.0,743200000.0,,496500000.0,12630900000.0,11823000000.0
pentair plc,3550,london,1,4354700000.0,1107300000.0,95900000.0,13800000.0,0.01,,25100000.0,2083100000.0,4354700000.0,931100000.0,-251200000.0,-100900000.0,360800000.0,132100000.0,318900000.0,297100000.0,825300000.0,
brinks co,4731,richmond,1,5578400000.0,1889500000.0,661600000.0,-1500000.0,1.0,49800000.0,22700000.0,5275800000.0,5578400000.0,1330800000.0,314400000.0,-379900000.0,81000000.0,36600000.0,73300000.0,865100000.0,427200000.0,174000000.0
sherwin williams co,5200,cleveland,1,20519600000.0,5185700000.0,219600000.0,-7000000.0,0.33,90600000.0,270000000.0,,20519600000.0,6190400000.0,-1125300000.0,-72500000.0,1201300000.0,1058200000.0,1762400000.0,1806300000.0,1604800000.0,2840400000.0
southwest airlines co,4512,dallas,1,38206000000.0,19188000000.0,14124000000.0,2153000000.0,,888000000.0,185000000.0,,38206000000.0,12476000000.0,1081000000.0,-670000000.0,2650000000.0,348000000.0,594000000.0,15242000000.0,15260000000.0,9688000000.0
"stanley black & decker, inc.",3420,new britain,1,23962900000.0,6555700000.0,440400000.0,-509200000.0,2.5,442300000.0,73700000.0,,23962900000.0,5402500000.0,-853300000.0,-256700000.0,444400000.0,459500000.0,,2038400000.0,8258600000.0,11084000000.0
trinity industries inc,3743,dallas,1,8617000000.0,,91000000.0,,0.01,1000000.0,-900000.0,6959100000.0,8617000000.0,,-134400000.0,-173000000.0,334700000.0,16000000.0,127600000.0,7048700000.0,1414100000.0,1389900000.0
raytheon technologies corp,3724,waltham,1,158838000000.0,40879000000.0,8051000000.0,-752000000.0,,,687000000.0,86087000000.0,158838000000.0,34794000000.0,,,,1785000000.0,2295000000.0,14665000000.0,48954000000.0,71115000000.0
carlisle companies inc,3060,scottsdale,1,5839300000.0,2512500000.0,,-176800000.0,1.0,78700000.0,33100000.0,,5839300000.0,761700000.0,-284500000.0,-63500000.0,171500000.0,151500000.0,218500000.0,674200000.0,4024200000.0,2417900000.0
pultegroup inc/mi/,1531,atlanta,1,12082020000.0,,1663270000.0,,,,136074000.0,5123552000.0,12082020000.0,,-1295797000.0,-47384000.0,432068000.0,503399000.0,,,,6958468000.0
starbucks corp,5810,seattle,1,29476800000.0,7931700000.0,4753100000.0,,0.001,1200000.0,673600000.0,36271100000.0,29476800000.0,7799800000.0,-3167900000.0,-986200000.0,4468400000.0,2434900000.0,3389900000.0,6151400000.0,-7501600000.0,-6800800000.0
equity lifestyle properties inc,6798,chicago,1,4824007000.0,,,20693000.0,0.01,1827000.0,,3522016000.0,4824007000.0,,166978000.0,-475211000.0,328926000.0,64080000.0,,,,1240486000.0
sirius xm holdings inc.,4832,new york,1,11201000000.0,2129000000.0,1124000000.0,1049000000.0,0.001,4000000.0,65000000.0,13716000000.0,11201000000.0,3937000000.0,311000000.0,-190000000.0,928000000.0,652000000.0,912000000.0,1405000000.0,-2539000000.0,-2515000000.0
sun communities inc,6798,southfield,1,12040990000.0,,,26971000.0,0.01,1159000.0,,5099563000.0,12040990000.0,,421482000.0,-865486000.0,470708000.0,110770000.0,,,,6555208000.0
"highwoods properties, inc.",6798,raleigh,1,5237021000.0,,6535000.0,-130811000.0,0.01,1042000.0,,2741198000.0,5237021000.0,,-99809000.0,-228417000.0,197415000.0,,129276000.0,,-672239000.0,2345804000.0
dte energy co,4911,detroit,1,49636000000.0,6402000000.0,3448000000.0,2934000000.0,10.0,5361000000.0,50000000.0,,49636000000.0,1468000000.0,487000000.0,-1521000000.0,1029000000.0,179000000.0,639000000.0,29140000000.0,7149000000.0,12378000000.0
masimo corp,3845,irvine,1,1681688000.0,1051836000.0,575955000.0,-67661000.0,1.0,,14981000.0,290453000.0,1681688000.0,220029000.0,-136504000.0,-17219000.0,85258000.0,,65136000.0,274723000.0,1444833000.0,1391235000.0
"tesla, inc.",3711,palo alto,1,55146000000.0,24693000000.0,16229000000.0,-3076000000.0,0.001,1000000.0,184000000.0,28896000000.0,55146000000.0,16371000000.0,-2565000000.0,-4097000000.0,3765000000.0,1142000000.0,1312000000.0,15665000000.0,-3608000000.0,24804000000.0
